iter	MultiClass
0	1.713861236
1	1.639590855
2	1.57943234
3	1.522664548
4	1.473185865
5	1.444519109
6	1.419459778
7	1.388671875
8	1.355711343
9	1.326009064
10	1.300323516
11	1.274709702
12	1.257141442
13	1.23770561
14	1.217981997
15	1.201042548
16	1.18643402
17	1.171740211
18	1.165547306
19	1.151698653
20	1.141064474
21	1.125918779
22	1.116419884
23	1.104727586
24	1.095473211
25	1.083439701
26	1.071611347
27	1.064991099
28	1.058292737
29	1.047554271
30	1.04046431
31	1.030297667
32	1.022038398
33	1.013007549
34	1.004008496
35	0.9944613901
36	0.9883742799
37	0.9821973316
38	0.9736142095
39	0.9662116174
40	0.9585652429
41	0.9528490481
42	0.9484662668
43	0.9408646629
44	0.9336298357
45	0.9284247024
46	0.9220616521
47	0.917188648
48	0.9129480417
49	0.9072126229
50	0.9014842136
51	0.8946552464
52	0.8910930149
53	0.8868172043
54	0.8812364364
55	0.878094574
56	0.873525162
57	0.8682199666
58	0.8618719255
59	0.8587784814
60	0.8544644398
61	0.8506037901
62	0.8474906087
63	0.8426799775
64	0.8386103292
65	0.8343916427
66	0.8295468428
67	0.8264630838
68	0.8230381672
69	0.8200048913
70	0.8157255472
71	0.8117782214
72	0.8079358319
73	0.8050939211
74	0.8020357386
75	0.7988118088
76	0.7945857885
77	0.7905162279
78	0.7867938522
79	0.7826705639
80	0.7801001416
81	0.7788734903
82	0.7755748716
83	0.7729139553
84	0.7686920181
85	0.7661316424
86	0.7631927422
87	0.7601069366
88	0.7575996649
89	0.7542686985
90	0.7517748042
91	0.7492866175
92	0.7466244036
93	0.7424514048
94	0.7381695912
95	0.7362090276
96	0.7343435626
97	0.7302451859
98	0.7274051675
99	0.7254556943
100	0.7211237277
101	0.716269267
102	0.7140977282
103	0.7103673085
104	0.7079173572
105	0.7065160298
106	0.7051086834
107	0.7031827863
108	0.7006277477
109	0.6981559888
110	0.6947744434
111	0.6897604497
112	0.6880087402
113	0.6864695142
114	0.6830113552
115	0.679250557
116	0.6780393739
117	0.6769128925
118	0.6745968517
119	0.6729854442
120	0.6701221095
121	0.6685344004
122	0.6661059468
123	0.6638008182
124	0.6625605041
125	0.6607656424
126	0.6582664413
127	0.6555748296
128	0.6523079611
129	0.6504082623
130	0.6488368631
131	0.6464657607
132	0.6449079911
133	0.6438943686
134	0.6411428877
135	0.6378692262
136	0.6349191515
137	0.633900126
138	0.6319640744
139	0.6302169635
140	0.6293486168
141	0.6279500722
142	0.6251037502
143	0.6241203076
144	0.6231513926
145	0.6220827619
146	0.6206053143
147	0.6189636702
148	0.6173823576
149	0.6165191931
150	0.6148981458
151	0.6125821416
152	0.6112413096
153	0.6097776492
154	0.6084365232
155	0.6069871236
156	0.6060529894
157	0.6039698456
158	0.6028832411
159	0.6011215993
160	0.5987645049
161	0.5949960803
162	0.5931379455
163	0.5900366401
164	0.5888389612
165	0.5877585267
166	0.5857713546
167	0.5839374617
168	0.5819457542
169	0.5804543981
170	0.5791737595
171	0.5785086068
172	0.5767787642
173	0.5752957794
174	0.5741246247
175	0.5720228925
176	0.5710228237
177	0.5683329907
178	0.5670430316
179	0.5644059421
180	0.5620754518
181	0.5604335328
182	0.5585831101
183	0.5573965403
184	0.5562465344
185	0.5553802893
186	0.553998855
187	0.5530860799
188	0.5519837781
189	0.551146307
190	0.5488624889
191	0.547528248
192	0.5460384389
193	0.5447881658
194	0.5434281152
195	0.5421668552
196	0.540298042
197	0.5394134452
198	0.5384028737
199	0.53594911
200	0.5349764993
201	0.533906122
202	0.5331994248
203	0.531208928
204	0.5293233932
205	0.5266545718
206	0.5258699083
207	0.5254030152
208	0.5238467164
209	0.5228648771
210	0.521956234
211	0.520707096
212	0.5196006503
213	0.5184084948
214	0.5167716071
215	0.5152139538
216	0.5140065295
217	0.5128380134
218	0.5116225132
219	0.5107698582
220	0.5095656129
221	0.5086239983
222	0.5076854442
223	0.5068154967
224	0.5047930891
225	0.5041485951
226	0.5029708736
227	0.5023319008
228	0.5013127572
229	0.5004894883
230	0.4992870533
231	0.4985800973
232	0.4981258674
233	0.4964768611
234	0.4957672666
235	0.4947274656
236	0.4935247865
237	0.4926848511
238	0.4918592082
239	0.4907193689
240	0.4902531177
241	0.4885212539
242	0.4872777308
243	0.4865932659
244	0.4857914449
245	0.4854908424
246	0.4836285243
247	0.4829870687
248	0.4823702261
249	0.4810107372
250	0.4799973979
251	0.4791188319
252	0.4777275195
253	0.4767365037
254	0.475570552
255	0.4742184745
256	0.4734465117
257	0.4727881986
258	0.4718977936
259	0.4712201635
260	0.4701339506
261	0.4691397717
262	0.4683903809
263	0.467771036
264	0.4669719196
265	0.465571763
266	0.4645444227
267	0.4638770369
268	0.4627347076
269	0.4621295791
270	0.4614635433
271	0.4605118275
272	0.4596366689
273	0.4586230569
274	0.457920115
275	0.4570939176
276	0.4555988954
277	0.4549876877
278	0.4543871704
279	0.4538467001
280	0.4532924413
281	0.4528069202
282	0.4521382599
283	0.4518155356
284	0.4510752271
285	0.4505894681
286	0.4496623215
287	0.4489027063
288	0.4476722287
289	0.4471652014
290	0.4466340408
291	0.4456330219
292	0.4451795844
293	0.4438278042
294	0.4420056603
295	0.4410375502
296	0.4403315334
297	0.4395594539
298	0.4386633899
299	0.4380933862
300	0.4376738157
301	0.436081555
302	0.4353749324
303	0.4350563938
304	0.433825978
305	0.4326366713
306	0.4318920083
307	0.4311866697
308	0.4300247364
309	0.4289051278
310	0.4282601181
311	0.4277346468
312	0.4268410795
313	0.4263376578
314	0.425474683
315	0.4245815367
316	0.4236004876
317	0.4224669435
318	0.42187776
319	0.421231393
320	0.4191236586
321	0.4186002777
322	0.4177340246
323	0.4170116176
324	0.4156704087
325	0.4149887955
326	0.4143656524
327	0.413277593
328	0.4126373805
329	0.4116860406
330	0.4104389258
331	0.4094650635
332	0.4086014725
333	0.4075459136
334	0.4067693963
335	0.4057759855
336	0.4049011283
337	0.4041952862
338	0.4035392703
339	0.4026180305
340	0.402072046
341	0.4012040482
342	0.400707561
343	0.4002998812
344	0.3995325425
345	0.3989438986
346	0.3981632101
347	0.3970843424
348	0.3964588629
349	0.3959244377
350	0.3953441128
351	0.3947325094
352	0.394147679
353	0.393161595
354	0.3925547245
355	0.3920983338
356	0.3916490315
357	0.391030528
358	0.3904305054
359	0.3896194104
360	0.3887724492
361	0.3882844764
362	0.3874644845
363	0.3870960857
364	0.3864685113
365	0.3861348658
366	0.3854976157
367	0.3847259932
368	0.3839222555
369	0.3829994665
370	0.3822530467
371	0.3808951424
372	0.380567329
373	0.3797883972
374	0.3792459506
375	0.3783355502
376	0.3778194329
377	0.3770736593
378	0.3762022395
379	0.3757656488
380	0.3751654021
381	0.3745332599
382	0.3739433245
383	0.3733414034
384	0.3726529701
385	0.372066861
386	0.3715505268
387	0.3711075911
388	0.37055299
389	0.3694924057
390	0.368900427
391	0.368327117
392	0.3671353734
393	0.3664654934
394	0.3659019274
395	0.3656283296
396	0.3651126102
397	0.3640553727
398	0.3635838792
399	0.3630842008
400	0.3624163676
401	0.3617188978
402	0.3608662614
403	0.3605870691
404	0.3597859711
405	0.3592555337
406	0.3588056339
407	0.3583410084
408	0.3573986962
409	0.3566707912
410	0.3560858018
411	0.3555561775
412	0.3553096847
413	0.3549788225
414	0.3545714153
415	0.3537449188
416	0.3534108817
417	0.3526875363
418	0.3521959847
419	0.3511846818
420	0.3506870297
421	0.3503119117
422	0.3495094213
423	0.3487964688
424	0.3482809767
425	0.3476641866
426	0.3469866701
427	0.3465896689
428	0.3463236493
429	0.3458613717
430	0.3455929977
431	0.3451976743
432	0.3445474093
433	0.3440929968
434	0.3437181676
435	0.3431646416
436	0.3427168838
437	0.3423045482
438	0.3418103187
439	0.3411238223
440	0.3407274867
441	0.3403075122
442	0.3397702438
443	0.3394491719
444	0.3389321377
445	0.3385899835
446	0.3380203457
447	0.3378121661
448	0.3369339966
449	0.336606774
450	0.3360228463
451	0.3355881863
