iter	Passed	Remaining
0	134	134040
1	136	68018
2	138	45971
3	140	35024
4	142	28403
5	144	24015
6	147	20865
7	149	18478
8	151	16634
9	152	15144
10	154	13923
11	157	12928
12	159	12073
13	161	11341
14	162	10697
15	164	10134
16	166	9646
17	168	9205
18	170	8809
19	172	8463
20	174	8146
21	176	7855
22	178	7583
23	180	7340
24	182	7121
25	184	6916
26	186	6723
27	188	6550
28	190	6385
29	192	6227
30	194	6078
31	196	5942
32	198	5811
33	200	5688
34	202	5572
35	204	5472
36	206	5371
37	208	5275
38	210	5183
39	212	5096
40	214	5012
41	216	4929
42	218	4854
43	220	4781
44	222	4714
45	224	4647
46	225	4582
47	227	4520
48	229	4459
49	231	4401
50	233	4346
51	235	4294
52	237	4246
53	239	4197
54	241	4150
55	243	4106
56	245	4062
57	247	4019
58	249	3979
59	251	3938
60	253	3901
61	255	3863
62	257	3826
63	259	3790
64	261	3755
65	262	3721
66	264	3689
67	266	3657
68	268	3626
69	270	3596
70	272	3565
71	274	3536
72	276	3508
73	278	3481
74	280	3455
75	282	3429
76	283	3403
77	285	3379
78	287	3354
79	289	3332
80	291	3309
81	293	3287
82	295	3265
83	297	3243
84	299	3221
85	301	3200
86	302	3179
87	304	3159
88	306	3139
89	308	3120
90	310	3103
91	312	3086
92	314	3068
93	316	3050
94	318	3034
95	320	3017
96	322	3001
97	324	2985
98	326	2969
99	328	2954
100	330	2938
101	332	2925
102	334	2911
103	336	2896
104	338	2882
105	340	2869
106	342	2856
107	344	2843
108	346	2831
109	348	2817
110	350	2807
111	352	2794
112	354	2782
113	356	2770
114	358	2758
115	360	2746
116	362	2735
117	364	2724
118	366	2714
119	368	2702
120	370	2691
121	372	2680
122	374	2669
123	376	2659
124	378	2648
125	380	2638
126	382	2630
127	384	2620
128	386	2611
129	388	2600
130	390	2590
131	392	2581
132	394	2571
133	396	2562
134	398	2555
135	400	2547
136	402	2538
137	404	2528
138	406	2520
139	408	2511
140	410	2502
141	412	2494
142	415	2487
143	417	2479
144	419	2471
145	420	2462
146	423	2455
147	425	2446
148	426	2438
149	429	2431
150	431	2424
151	433	2416
152	435	2408
153	436	2400
154	438	2392
155	440	2385
156	442	2377
157	444	2370
158	446	2363
159	448	2356
160	450	2349
161	452	2341
162	454	2334
163	456	2326
164	458	2319
165	460	2311
166	461	2304
167	463	2297
168	465	2290
169	467	2283
170	469	2276
171	471	2269
172	473	2263
173	475	2256
174	477	2249
175	479	2243
176	481	2236
177	482	2229
178	484	2223
179	486	2217
180	488	2211
181	490	2205
182	492	2199
183	494	2193
184	496	2186
185	498	2180
186	500	2175
187	502	2168
188	504	2163
189	506	2157
190	508	2152
191	510	2146
192	512	2141
193	514	2136
194	516	2130
195	517	2124
196	519	2119
197	521	2113
198	523	2108
199	525	2102
200	527	2098
201	529	2093
202	531	2088
203	533	2083
204	535	2078
205	537	2073
206	539	2068
207	542	2063
208	544	2061
209	546	2056
210	548	2051
211	550	2046
212	552	2042
213	554	2037
214	556	2033
215	559	2029
216	561	2025
217	563	2021
218	565	2016
219	567	2011
220	569	2007
221	571	2002
222	573	1997
223	575	1995
224	578	1991
225	580	1987
226	582	1982
227	584	1978
228	586	1973
229	588	1969
230	590	1965
